community,shape_area,shape_len,AREAID,response_r,accept_r,rev_rating,price_pp,room_type,num_spots,poverty,crowded,dependency,without_hs,unemployed,income_pc,harship_in,num_crimes,num_theft,population
MCKINLEY PARK,39431799.6479,26014.0968371,59,100.0,100.0,93.25,61.733333,1.4,5,18.7,7.2,35.6,32.9,13.4,16954,61,2139,539,15612
LAKE VIEW,87214799.2728,51973.0968677,6,91.744917,85.661654,95.073913,121.037288,1.400657,609,11.4,1.1,17.0,2.6,4.7,60058,5,11401,4296,94368
BRIDGEPORT,58291519.2767,32732.7183268,60,94.636364,86.414634,92.382353,70.756028,1.553191,47,18.9,4.5,31.3,22.2,13.7,22694,43,3278,765,31977
NEW CITY,134636963.254,48133.595961,61,100.0,96.0,96.0,61.0,1.666667,3,29.0,11.9,38.9,41.5,23.0,12765,91,9885,1701,44377
WEST ELSDON,32711091.4259,26229.6956007,62,95.0,96.5,98.0,71.5,1.5,2,15.6,11.1,37.7,37.0,16.7,15754,69,2118,463,18109
GAGE PARK,61284896.1132,32294.1959107,63,100.0,92.5,91.375,23.59375,2.125,8,23.4,15.8,38.8,51.5,18.2,12171,93,4766,825,39894
CLEARING,71145192.3827,45363.2861749,64,,,,,,0,8.9,2.7,37.6,18.8,9.5,25113,29,1926,377,23139
WEST LAWN,82315301.6831,41934.4901309,65,100.0,100.0,96.666667,20.333333,2.333333,3,14.9,5.8,39.6,33.6,9.6,16907,56,4214,1265,33355
CHICAGO LAWN,98279465.1151,40073.0998382,66,,,,,,0,27.9,7.6,40.6,31.2,17.1,13231,80,12142,1812,55628
WEST ENGLEWOOD,87947691.9478,40195.2033069,67,100.0,96.0,88.272727,14.0,3.0,11,34.4,4.8,40.7,26.3,35.9,11317,89,14656,1820,35505
ENGLEWOOD,85652323.0826,42316.8442973,68,100.0,96.0,85.777778,16.194444,2.888889,9,46.6,3.8,42.5,28.5,28.0,11888,94,13763,1748,30654
GREATER GRAND CROSSING,98853167.7093,54645.3302996,69,93.333333,100.0,86.5,70.0,2.0,3,29.6,3.6,41.0,16.5,23.0,17285,66,13341,2098,32602
LINCOLN PARK,88316400.4728,49478.4277714,7,90.977778,83.175896,93.223368,149.147253,1.343575,358,12.3,0.8,21.5,3.6,5.1,71551,2,7793,3646,64116
ASHBURN,135460337.208,54818.1546317,70,75.0,100.0,,155.0,1.5,2,10.4,4.0,36.9,17.7,11.7,23482,37,4894,1022,41081
AUBURN GRESHAM,105065353.602,46757.7217161,71,100.0,98.0,96.5,52.5,2.0,3,27.6,4.0,41.9,18.5,28.3,15528,74,15334,2265,48743
BEVERLY,88779363.9384,44591.4851009,72,95.0,78.833333,89.666667,91.714286,1.571429,7,5.1,0.9,40.5,3.7,8.0,39523,12,1912,571,20034
WASHINGTON HEIGHTS,79635752.8769,42222.598163,73,,,,,,0,16.9,1.1,42.6,13.7,20.8,19713,48,6378,1076,26493
MOUNT GREENWOOD,75584290.0209,48665.1305392,74,,,,,,0,3.4,1.0,36.8,4.3,8.7,34381,16,1233,326,19093
MORGAN PARK,91877340.6988,46396.419362,75,85.5,96.666667,97.0,67.933333,1.0,5,13.2,0.8,40.3,10.8,15.0,27149,30,3998,912,22544
OHARE,371835607.687,173625.98466,76,83.5,100.0,83.0,38.5,2.5,2,15.4,3.6,30.3,10.9,7.1,25828,24,3423,1011,12756
EDGEWATER,48449990.8397,31004.8309456,77,94.42953,85.925676,94.540323,77.19951,1.582353,170,18.2,4.1,23.8,9.7,9.2,33385,19,4559,1409,56521
EDISON PARK,31636313.7864,25937.226841,9,100.0,95.0,91.0,25.0,1.0,1,3.3,1.1,35.3,7.4,6.5,40959,8,537,104,11187
